
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..>:672 SourceFileLoader.exec_module  207..  0.000770  0.236004  0.001140
..68 IntrinsicCallConstraint.resolve  149..  0.001865  0.233673  0.001568
..e/postproc.py:68 PostProcessor.run  66     0.001216  0.222394  0.003370
..r.py:1500 TypeInferer.resolve_call  149..  0.000497  0.220437  0.001479
..:187 Context.resolve_function_type  157..  0.000283  0.218335  0.001391
..ontext._resolve_user_function_type  157..  0.000973  0.218082  0.001389
..s/matplotlib/pyplot.py:856 savefig  1      0.000017  0.207800  0.207800
..tlib/figure.py:2169 Figure.savefig  1      0.000017  0.207695  0.207695
..3 FigureCanvasGTK3Agg.print_figure  1      0.000061  0.207675  0.207675
..y:73 FigureCanvasGTK3Agg.print_png  1      0.000008  0.207300  0.207300
..tlib/backend_bases.py:1600 wrapper  1      0.000037  0.207239  0.207239
..g.py:460 FigureCanvasAgg.print_png  1      0.000127  0.206609  0.206609
..fi.py:149 _lib_fn_wrapper.__call__  1711   0.119296  0.186587  0.000109
..y:654 JITCodeLibrary.add_ir_module  7      0.000132  0.186104  0.026586
..ng/templates.py:343 Template.apply  886    0.003053  0.184422  0.000208
..krefset.py:70 WeakSet.__contains__  176..  0.178746  0.178746  0.000001
..re/ir.py:313 Assign._rec_list_vars  312..  0.109561  0.178630  0.000006
..ils.py:274 cached_property.__get__  502..  0.000994  0.174748  0.000348
..nd_agg.py:400 FigureCanvasAgg.draw  1      0.000017  0.166453  0.166453
..tplotlib/artist.py:33 draw_wrapper  223/1  0.001224  0.165539  0.000742
..plotlib/figure.py:1819 Figure.draw  1      0.000059  0.165524  0.165524
..:113 _draw_list_compositing_images  3/1    0.000052  0.164490  0.054830
..xes/_base.py:2665 AxesSubplot.draw  2      0.000057  0.164297  0.082148
heat_conduction.py:51 qr              64846  0.156635  0.156635  0.000002
..ba/core/ir.py:346 Assign.list_vars  4288   0.005453  0.151726  0.000035
..e/ir/module.py:233 Module.__repr__  89     0.000469  0.145356  0.001633
..text.py:996 StixSansFonts.__init__  4      0.000100  0.145351  0.036338
../compiler.py:305 Compiler.__init__  6      0.000226  0.145297  0.024216
..dule.py:207 Module._get_body_lines  89     0.000532  0.143967  0.001618
..vmlite/ir/module.py:212 <listcomp>  89     0.000293  0.143190  0.001609
../ir/values.py:668 Function.__str__  40     0.000089  0.138662  0.003467
..te/ir/values.py:661 Function.descr  40     0.000087  0.138401  0.003460
..fer.py:558 CallConstraint.__call__  62/60  0.000847  0.137410  0.002216
../mesh.py:33 IntervalMesh.num_cells  64850  0.097614  0.135287  0.000002
../values.py:654 Function.descr_body  8      0.000221  0.134187  0.016773
..Shape1DIGA.get_num_basis_functions  129..  0.134138  0.134138  0.000001
..mlite/ir/values.py:797 Block.descr  259    0.001043  0.133966  0.000517
..vmlite/ir/values.py:799 <listcomp>  259    0.003142  0.131561  0.000508
../optimize/__init__.py:385 <module>  1      0.000134  0.131358  0.131358
